ID,Sl.No,Station,City,Date,Stipend
6376,30,AquaCarta ( partnered by Waterlife India ) - Aerial Imagery,Hyderabad,"May 20th, 2025",
7410,31,Arete Healthtech Private Limited,New Delhi,"May 29th, 2025",20000
5028,32,"Argenbright Innovation Lab,Bengaluru",Bengaluru,"May 20th, 2025",25000
6974,33,ARKS Ventures - Non Tech,San Francisco,"May 20th, 2025",50000
6972,34,ARKS Ventures - Tech,San Fransisco,"May 20th, 2025",50000
6366,35,Astera Labs,Bengaluru,"May 20th, 2025",90000
6580,36,Astrikos AI Private Limited,Bengaluru,"May 20th, 2025",
5280,37,"Avaamo, Bengaluru",Bangalore,"May 29th, 2025",75000
7244,38,Axis Capital Ltd,Mumbai,"May 20th, 2025",10000
7054,39,Bachatt ( Trusave Fintech Private Limited ) - Product Management,New Delhi,"May 20th, 2025",30000
7053,40,Bachatt ( Trusave Fintech Private Limited ) - SDE Backend,New Delhi,"May 20th, 2025",30000
7052,41,Bachatt ( Trusave Fintech Private Limited ) - SDE Frontend,New Delhi,"May 20th, 2025",30000
7055,42,Bachatt ( Trusave Fintech Private Limited ) - SDE Software Development,New Delhi,"May 20th, 2025",30000
4674,43,"Bharat Forge Ltd.,Pune",Pune,"May 20th, 2025",
5834,44,Bharat Petroleum Corporation Limited,Greater Noida,"May 22nd, 2025",
6259,45,BigBasket,Bengaluru,"May 20th, 2025",
7170,46,BigLook,Waterford,"May 20th, 2025",70000
5988,47,"Birla Cellulose, Kharach",Kharach,"May 20th, 2025",
5221,48,"Birla Cellulose, Pulp & Fiber Business, Harihar",Harihar,"May 20th, 2025",20000
5243,49,"Birla Polyfibers,Harihar",Harihar,"May 20th, 2025",
5564,50,Bisquare Systems Private Limited,Noida,"May 20th, 2025",40000
7366,51,Bleenco GmbH,"Germany, EU","May 29th, 2025",20000
4845,52,"BlokTrek,Bengaluru",Bengaluru,"May 20th, 2025",
7302,53,BMW,Pan India,"May 22nd, 2025",
6389,54,Bread Financial - Model Dev,Bengaluru,"May 22nd, 2025",50000
7354,55,Bread Financial - Model Validation,Bengaluru,"May 22nd, 2025",50000
4670,56,"BSCPL Infrastructure Ltd.,Hyderabad",Hyderabad,"May 22nd, 2025",
6877,57,Cactus Partners,Gurgaon,"May 20th, 2025",40000
4967,58,"Cadence Design Systems,Bengaluru",Bengaluru,"May 20th, 2025",40000
6184,59,Capital One,Bengaluru,"May 20th, 2025",
